Chain,Token ID,image URL,Profile,Speed,Stamina,Defence,Special Move,Punch,Kick,Total,Skin,Eye Brow,Eye Lense,Eye Shapes,Hair,Lips,Gloves,Pants,Full Costumes,Shoes,Eyelid,Chest Tattoo,Arm Tattoo,Legs Tattoo,Glasses,Face Tattoo,Forehead Tattoo,Mustache,Chain
ETH,11,https://ik.imagekit.io/xanalia/breaking-down/v1/0085.png,Killer,71,40,73,48,61,64,357,Golden Brown,Flat Edge - Pinkish Red,Natural - Hazel,Nervous - Golden Brown,Mid Straight - Pinkish Red,Chocolate Berries,,,3 Piece Suite - White,Run Strip,,,,,,,,,
ETH,12,https://ik.imagekit.io/xanalia/breaking-down/v2/0038.png,Berserker,39,72,61,60,45,76,353,Sand,Thin Rounded - Pastel Brown,Crystal - Amber Brown,Wide Focused - Sand,Spikes Top - Pastel Brown,Bronze Beauty,,,Ban - Pink,Thick Base,Short Low,Grim,ZigZag,Inferno,,,,,
ETH,13,https://ik.imagekit.io/xanalia/breaking-down/v5/0109.png,Rogue,61,50,67,54,57,68,357,Ivory,Fat Flat - Golden,Medallion - Blue,Nervous - Ivory,Elegant Fade - Golden,Teddy Bear,,,3 Piece Suite - Green,Funky,,,,,,,,,
ETH,14,https://ik.imagekit.io/xanalia/breaking-down/v7/0112.png,Rogue,70,41,62,59,52,73,357,Ivory,Thin Rounded - Pastel Brown,Medallion - Ice Grey,Round Flat - Ivory,Waves - Pastel Brown,Teddy Bear,,,Satoru - Black,Sporty,Thin Curve,Phoenix,,,,,,,
ETH,15,https://ik.imagekit.io/xanalia/breaking-down/v10/0190.png,Phoenix,68,43,68,53,80,45,357,Almond,Flat - Pastel Brown,Medallion - Emrald Green,Thin Pointy - Almond,Fat Straights - Pastel Brown,Candied Toffees,Dark Combat - Royal Blue and Black,Dark Funk - Black and White,,,,,,,,,,,
ETH,16,https://ik.imagekit.io/xanalia/breaking-down/v5/0151.png,Juggernaut,79,32,83,38,81,42,355,Burgundy,Flat Curve - Pinkish Red,Mermaid - Hazel Brown,Normal State - Burgundy,Spikes Top - Pinkish Red,Rasp Wicked,Highlight - Purple and Black,Dark Funk - Dark Brown and White,,,,,Dragon,Royal Dragon,Retro Square - Brown,,Phoenix,,Chain Pendant
ETH,17,https://ik.imagekit.io/xanalia/breaking-down/v4/0189.png,Unstoppable,60,51,56,65,68,53,353,Porcelean,Point Flat Bulky - Bronze,Crystal - Hazel Brown,Thick Angled - Porcelean,Mid Straight - Bronze,Double Espresso,Dark Combat - Red and Black,Thin Strip - Cerulean Blue and White,,,,,,,,,,,
ETH,18,https://ik.imagekit.io/xanalia/breaking-down/v5/0233.png,Phoenix,72,39,80,41,92,33,357,Almond,Point Flat Bulky - Pastel Brown,Mermaid - Hazel Brown,High Flat - Almond,Dreadlock Long - Pastel Brown,Candied Toffees,Blaze - Red and Black,Edge - Dark Grey and Black,,,,Phoenix,Dragon,,,,,,
ETH,19,https://ik.imagekit.io/xanalia/breaking-down/v6/0035.png,Infiltrator,58,53,62,59,70,55,357,Sienna,Bulky Flat - Golden,Crystal - Jade Green,Nervous - Sienna,Long Front Wave - Golden,Nude Creme,Double-X - Orange and Black,Neo-P - Emrald Green and Black,,,,,,,,,,,
ETH,20,https://ik.imagekit.io/xanalia/breaking-down/v3/0075.png,Phoenix,48,63,80,41,66,59,357,Almond,Bulky Flat - Pinkish Red,Mermaid - Ice Grey,Sharp - Almond,Slicked Right - Pinkish Red,Candied Toffees,,,3 Piece Suite - Pink,Formal,,Twin Phoenix,,Polyzig,,,,,
ETH,21,https://ik.imagekit.io/xanalia/breaking-down/v1/0049.png,Unstoppable,59,52,65,56,57,64,353,Porcelean,Thin High Flat - Dark Brown,Medallion - Amber Brown,Sharp - Porcelean,Slicked Right - Dark Brown,Double Espresso,,,Ban - Red,Double Capsure,,,,,,,,,
ETH,22,https://ik.imagekit.io/xanalia/breaking-down/v7/0102.png,Killer,51,60,55,66,63,62,357,Golden Brown,Flat - Pale Brown,Natural - Ice Grey,Thin Pointy - Golden Brown,Mid Straight - Pale Brown,Chocolate Berries,Double-X - Green and Black,Double - Cerulean Blue and White,,,,,,,,,,,
ETH,23,https://ik.imagekit.io/xanalia/breaking-down/v5/0181.png,Unstoppable,62,49,70,51,62,59,353,Porcelean,Bulky Flat - Pinkish Red,Natural - Hazel,Nervous - Porcelean,Long Spikes - Pinkish Red,Double Espresso,,,Lida - Red,Funky,,,,,,,,,
ETH,24,https://ik.imagekit.io/xanalia/breaking-down/v14/0070.png,Infiltrator,72,39,74,47,84,41,357,Sienna,Curve - Pastel Brown,Natural - Gemstone Green,Innocence - Sienna,Slicked Right - Pastel Brown,Nude Creme,Double Dark - Purple and Black,Dark Strip - Magenta and White,,,Narrow,Twin Phoenix,,,Round - Golden Black,,Phoenix,,
ETH,25,https://ik.imagekit.io/xanalia/breaking-down/v11/0270.png,Phoenix,47,64,47,74,59,66,357,Almond,Bulky Rounded - Brownish Orange,Natural - Ice Grey,Thin Pointy - Almond,Decent - Brownish Orange,Candied Toffees,Dark Combat - Green and Black,Aura - Dark Grey and Black,,,,,,,,,,,
ETH,26,https://ik.imagekit.io/xanalia/breaking-down/v1/0329.png,Phoenix,56,55,86,35,66,59,357,Almond,Medium Flat - Brownish Orange,Medallion - Ice Grey,Calm - Almond,Front Waves - Brownish Orange,Candied Toffees,,,Ban - Black,Thick Base,,,,Royal Dragon,,,,,
ETH,27,https://ik.imagekit.io/xanalia/breaking-down/v11/0326.png,Brawler,55,56,67,54,67,58,357,Umber,Wide Flat Cut - Pale Brown,Crystal - Jade Green,High Flat - Umber,Slicked Right - Pale Brown,Madrid Deep,Double-X - Yellow and Black,Artistic - Cool Grey and White,,,,,Wolf Spirit,Inferno,Star - Golden Black,Pointy Round,,,
ETH,28,https://ik.imagekit.io/xanalia/breaking-down/v1/0109.png,Unstoppable,56,55,76,45,68,53,353,Porcelean,Thin Flat - Silver,Natural - Aqua,Mid Angled - Porcelean,Long Spikes - Silver,Double Espresso,,,Masao - Red,Thick Base,,,,,,,,,
ETH,29,https://ik.imagekit.io/xanalia/breaking-down/v7/0054.png,Berserker,63,48,67,54,55,66,353,Sand,Thin High Flat - Dark Brown,Medallion - Emrald Green,Focused - Sand,Dreadlock Long - Dark Brown,Bronze Beauty,,,Tornado - Blue,High Fit,Thin,,,,,,,,
ETH,30,https://ik.imagekit.io/xanalia/breaking-down/v3/0323.png,Commando,51,60,55,66,63,62,357,Cacao,Flat - Pastel Brown,Natural - Gemstone Green,Thin Confident - Cacao,Wild Spikes - Pastel Brown,Unicorn blood,Alpha - Magenta and Black,Neo-P - Magenta and Black,,,,,,,,,,,
ETH,31,https://ik.imagekit.io/xanalia/breaking-down/v13/0147.png,Phoenix,56,55,56,65,68,57,357,Almond,Fat Flat - Black,Crystal - Sterling Blue,Wide Focused - Almond,Side Straight Mid - Black,Candied Toffees,Double-X - Navy Blue and Black,Double - Red and White,,,,,,,,,,,
ETH,32,https://ik.imagekit.io/xanalia/breaking-down/v12/0206.png,Unstoppable,57,54,53,68,65,56,353,Porcelean,Bulky Flat - Bronze,Crystal - Ice Grey,Confident - Porcelean,Casual - Bronze,Double Espresso,Alpha - Magenta and Black,Neo-PW - Hot Pink and White,,,,,,,,,,,
ETH,33,https://ik.imagekit.io/xanalia/breaking-down/v12/0283.png,Phoenix,57,54,83,38,79,46,357,Almond,Soft Angled - Black,Natural - Gemstone Green,Thick Angled - Almond,Long Front Wave - Black,Candied Toffees,Double Dark - Magenta and Black,Class Gold - Deep Red and Black,,,,Fairy,Royal Dragon,Wave Kunai,,,Leo Tribe,,Crossed
ETH,34,https://ik.imagekit.io/xanalia/breaking-down/v2/0279.png,Brawler,50,61,68,53,56,69,357,Umber,Slight Flat - Golden,Natural - Ice Grey,Thick Angled - Umber,Front Waves - Golden,Madrid Deep,,,Ban - Black,Joggers,,,,,,,,,
ETH,35,https://ik.imagekit.io/xanalia/breaking-down/v9/0318.png,Commando,63,48,83,38,67,58,357,Cacao,Curve - Pinkish Red,Crystal - Ice Grey,Narrow Pointy - Cacao,Spikes - Pinkish Red,Unicorn blood,,,Urita - Seal Brown,Funky,,Leo,Royal Dragon,Inferno,,,,,
ETH,36,https://ik.imagekit.io/xanalia/breaking-down/v5/0413.png,Brawler,51,60,55,66,63,62,357,Umber,Soft Angled - Pale Brown,Medallion - Amber Brown,Low Flat - Umber,Spikes Top - Pale Brown,Madrid Deep,Double Dark - Purple and Black,Class Gold - Cool Grey and Black,,,,,,,,,,,
ETH,37,https://ik.imagekit.io/xanalia/breaking-down/v14/0190.png,Warrior,62,49,60,61,72,51,355,Pale Ivory,Curve - Dark Brown,Crystal - Amber Brown,Wave Rounded - Pale Ivory,Mid Straight - Dark Brown,Naturally Chic,Double Dark - Orange and Black,Thin Strip - Black and White,,,,,,,,,,,
ETH,38,https://ik.imagekit.io/xanalia/breaking-down/v12/0052.png,Berserker,42,69,46,75,54,67,353,Sand,Thin High Flat - Brownish Orange,Crystal - Amber Brown,Mid Angled - Sand,Mid Straight - Brownish Orange,Bronze Beauty,Alpha - Purple and Black,Double - Red and White,,,,,,,,,,,
ETH,39,https://ik.imagekit.io/xanalia/breaking-down/v13/0293.png,Infiltrator,80,31,52,69,56,69,357,Sienna,Flat Edge - Silver,Crystal - Jade Green,Round Flat - Sienna,Elegant - Silver,Nude Creme,,,Ban - Pink,Sneakers,Thin Curve,,,,Clean - Black,,Fairy,,
ETH,40,https://ik.imagekit.io/xanalia/breaking-down/v14/0350.png,Phoenix,53,58,53,68,65,60,357,Almond,Slight Rounded - Bronze,Medallion - Emrald Green,Wavy - Almond,Mid Height - Bronze,Candied Toffees,Highlight - Neon Yellow and Black,Thin Strip - Cool Grey and White,,,,,,,,,,,
ETH,41,https://ik.imagekit.io/xanalia/breaking-down/v9/0399.png,Warrior,73,38,63,58,75,48,355,Pale Ivory,Thick Rounded - Silver,Mermaid - Hazel Brown,Wide Focused - Pale Ivory,Long Front Wave - Silver,Naturally Chic,Strips - Yellow and Black,Silver Shine - Black and Silver,,,Short Low,,,,,,,,
ETH,42,https://ik.imagekit.io/xanalia/breaking-down/v10/0059.png,Berserker,58,53,72,49,60,61,353,Sand,Mid Bulky Flat - Golden,Crystal - Sterling Blue,Smart - Sand,Casual - Golden,Bronze Beauty,,,Tornado - Purple,Sneakers,,Wings,,,,,,,
ETH,43,https://ik.imagekit.io/xanalia/breaking-down/v2/0302.png,Infiltrator,48,63,72,49,60,65,357,Sienna,Soft Angled - Silver,Medallion - Emrald Green,Narrow Pointy - Sienna,Side Straight - Silver,Nude Creme,,,Lida - Antique Bronze,Double Capsure,,Nature,,,,,,,
ETH,44,https://ik.imagekit.io/xanalia/breaking-down/v9/0326.png,Warrior,65,46,43,78,55,68,355,Pale Ivory,Narrow Curved - Pinkish Red,Natural - Aqua,Calm Flat - Pale Ivory,Front Waves - Pinkish Red,Naturally Chic,Round Strip - Navy Blue and Black,Neo-PW - Cerulean Blue and White,,,Flat Down,,,,,,,,
ETH,45,https://ik.imagekit.io/xanalia/breaking-down/v9/0417.png,Commando,56,55,60,61,48,77,357,Cacao,Soft Angled - Dark Brown,Crystal - Amber Brown,Action Ready - Cacao,Slicked Right - Dark Brown,Unicorn blood,,,Ban - White,Sporty,,,Howl,,,,,,
ETH,46,https://ik.imagekit.io/xanalia/breaking-down/v2/0045.png,Warrior,66,45,66,55,58,65,355,Pale Ivory,Wide Flat Edge - Golden,Crystal - Hazel Brown,Low Flat - Pale Ivory,Fat Straights - Golden,Naturally Chic,,,Tornado - Blue Gray,Thick Base,Pointy Flat,,,,,,,,
ETH,47,https://ik.imagekit.io/xanalia/breaking-down/v1/0051.png,Brawler,51,60,61,60,49,76,357,Umber,Mid Flat - Silver,Natural - Amber Brown,Action Ready - Umber,Slicked Back - Silver,Madrid Deep,,,Satoru - Sea Green,Joggers,,,,,,,,,
ETH,48,https://ik.imagekit.io/xanalia/breaking-down/v9/0059.png,Juggernaut,51,60,55,66,63,60,355,Burgundy,Soft Angled - Bronze,Mermaid - Blue,Thin Confident - Burgundy,Mid Height - Bronze,Rasp Wicked,Highlight - Magenta and Black,Double - Cool Grey and White,,,,,,,,,,,
ETH,49,https://ik.imagekit.io/xanalia/breaking-down/v3/0098.png,Infiltrator,57,54,55,66,43,82,357,Sienna,Low Curved - Pale Brown,Mermaid - Blue,Sleepy - Sienna,Long Front Wave - Pale Brown,Nude Creme,,,Urita - Black,Formal,Low Curve,,,,,,,,
ETH,50,https://ik.imagekit.io/xanalia/breaking-down/v3/0023.png,Rogue,54,57,64,57,54,71,357,Ivory,Wide Flat Cut - Silver,Medallion - Blue,Smart - Ivory,Mid Straight - Silver,Teddy Bear,,,Komeo - Light Gray,Thick Base,,,Wolf Spirit,,,,,,
ETH,51,https://ik.imagekit.io/xanalia/breaking-down/v11/0370.png,Killer,50,61,64,57,62,63,357,Golden Brown,Narrow Curved - Dark Brown,Mermaid - Emrald Green,Normal - Golden Brown,Fat Straights - Dark Brown,Chocolate Berries,Double-X - Royal Blue and Black,Artistic - Yellowish Green and White,,,,,Wolf Spirit,,,Pointy Round,,,
ETH,52,https://ik.imagekit.io/xanalia/breaking-down/v11/0384.png,Brawler,43,68,47,74,55,70,357,Umber,Bulky Flat - Pinkish Red,Mermaid - Emrald Green,Sleepy - Umber,Mid Height - Pinkish Red,Madrid Deep,Alpha - Orange and Black,W B R - Cerulean Blue and Black,,,,,,,,,,,
ETH,53,https://ik.imagekit.io/xanalia/breaking-down/v12/0027.png,Warrior,68,43,52,69,64,59,355,Pale Ivory,Bulky Rounded - Golden,Medallion - Blue,Normal - Pale Ivory,Fat Straights - Golden,Naturally Chic,Round Strip - Orange and Black,Thin Strip - Cool Grey and White,,,Rounded,,,,,,,,
ETH,54,https://ik.imagekit.io/xanalia/breaking-down/v12/0126.png,Warrior,43,68,41,80,53,70,355,Pale Ivory,Wide Rounded - Silver,Mermaid - Blue,Confident - Pale Ivory,Front Waves - Silver,Naturally Chic,Neo - Yellow and Black,Thin Strip - Red and White,,,,,,,,,,,
ETH,55,https://ik.imagekit.io/xanalia/breaking-down/v2/0423.png,Juggernaut,61,50,65,56,73,50,355,Burgundy,Mid Bulky - Dark Brown,Natural - Gemstone Green,Smart - Burgundy,Front Spikes - Dark Brown,Rasp Wicked,Double-X - Green and Black,Blazing - Cool Grey and Black,,,,,Wave Kunai,,,,,,
ETH,56,https://ik.imagekit.io/xanalia/breaking-down/v14/0032.png,Rogue,46,65,48,73,58,67,357,Ivory,Bulky Flat - Pinkish Red,Natural - Ice Grey,Mid Angled - Ivory,Full Slicked Back - Pinkish Red,Teddy Bear,Double Dark - Yellow and Black,Aura - Emrald Green and Black,,,,,,,,,,,
ETH,57,https://ik.imagekit.io/xanalia/breaking-down/v11/0392.png,Berserker,57,54,67,54,55,66,353,Sand,Curve - Pale Brown,Natural - Amber Brown,Thin Confident - Sand,Spikes - Pale Brown,Bronze Beauty,,,Lida - Antique Bronze,Formal,,,,,,,,,
ETH,58,https://ik.imagekit.io/xanalia/breaking-down/v9/0319.png,Brawler,46,65,70,51,58,67,357,Umber,Medium Flat - Silver,Natural - Hazel,Round Flat - Umber,Side Straight - Silver,Madrid Deep,,,3 Piece Suite - Dark Black,Sneakers High,,Twin Phoenix,Wave Kunai,,,,,,
ETH,59,https://ik.imagekit.io/xanalia/breaking-down/v14/0021.png,Infiltrator,74,37,86,35,94,31,357,Sienna,Point Flat Bulky - Brownish Orange,Medallion - Emrald Green,Thin Confident - Sienna,Front Spikes - Brownish Orange,Nude Creme,Alpha - Navy Blue and Black,Silver Shine - Black and Silver,,,,Feathered,Wave Kunai,,Retro Square - Brown,,,,Polyloop
ETH,60,https://ik.imagekit.io/xanalia/breaking-down/v4/0412.png,Commando,68,43,72,49,80,45,357,Cacao,Flat Edge - Pale Brown,Natural - Hazel,Thin Confident - Cacao,Full Slicked Back - Pale Brown,Unicorn blood,Double-X - Red and Black,Bloody-R - Cool Grey and Black,,,,,,,,,,,
ETH,61,https://ik.imagekit.io/xanalia/breaking-down/v13/0371.png,Phoenix,53,58,53,68,65,60,357,Almond,Wide Flat Edge - Brownish Orange,Medallion - Emrald Green,Flat - Almond,Long Front Wave - Brownish Orange,Candied Toffees,Strips - Orange and Black,Twin-DR - Magenta and Black,,,,,,,,,,,
ETH,62,https://ik.imagekit.io/xanalia/breaking-down/v10/0160.png,Juggernaut,49,62,53,68,61,62,355,Burgundy,Flat Curve - Bronze,Medallion - Blue,Calm Flat - Burgundy,Slicked Back - Bronze,Rasp Wicked,Double Dark - Navy Blue and Black,Dark Strip - Black and White,,,,,,,,,,,
ETH,63,https://ik.imagekit.io/xanalia/breaking-down/v5/0285.png,Phoenix,61,50,71,50,63,62,357,Almond,Fat Flat - Pinkish Red,Medallion - Ice Grey,Thin Pointy - Almond,Long Front Wave - Pinkish Red,Candied Toffees,,,Ban - Dark Black,Sneakers,,,,,,,,,
ETH,64,https://ik.imagekit.io/xanalia/breaking-down/v1/0408.png,Phoenix,60,51,66,55,58,67,357,Almond,Narrow Curved - Brownish Orange,Crystal - Hazel Brown,Confident - Almond,Waves - Brownish Orange,Candied Toffees,,,Urita - Red,Sneakers,,,,,,,,,
ETH,65,https://ik.imagekit.io/xanalia/breaking-down/v8/0096.png,Infiltrator,57,54,65,56,63,62,357,Sienna,Angry - Pinkish Red,Medallion - Hazel Brown,Thick Rounded - Sienna,Slicked Right - Pinkish Red,Nude Creme,Double Dark - Orange and Black,Aura - Hot Pink and Black,,,Thin Rounded,,Dragon,Wolf Spirit,,,,,
ETH,66,https://ik.imagekit.io/xanalia/breaking-down/v12/0062.png,Commando,56,55,62,59,50,75,357,Cacao,Mid Bulky - Silver,Medallion - Hazel Brown,Calm - Cacao,Mid Straight - Silver,Unicorn blood,,,Masao - Purple,Joggers,,,,,,,,,
ETH,67,https://ik.imagekit.io/xanalia/breaking-down/v7/0048.png,Commando,68,43,74,47,80,45,357,Cacao,Narrow Curved - Golden,Mermaid - Ice Grey,Low Flat - Cacao,Full Slicked Back - Golden,Unicorn blood,Double Dark - Navy Blue and Black,Neo-Y - Emrald Green and Black,,,,,Dragon,Ancient,,,,,
ETH,68,https://ik.imagekit.io/xanalia/breaking-down/v14/0418.png,Warrior,61,50,49,72,61,62,355,Pale Ivory,Flat Curve - Golden,Medallion - Hazel Brown,Normal Open - Pale Ivory,Full Slicked Back - Golden,Naturally Chic,Blaze - Navy Blue and Black,Twin-DR - Hot Pink and Black,,,High Rounded,,Inferno,,,,,,
ETH,69,https://ik.imagekit.io/xanalia/breaking-down/v2/0348.png,Commando,54,57,84,37,72,53,357,Cacao,Straight - Pinkish Red,Natural - Ice Grey,Nervous - Cacao,Casual - Pinkish Red,Unicorn blood,,,Ban - Dark Black,Double Capsure,,,,,,,,,
ETH,70,https://ik.imagekit.io/xanalia/breaking-down/v3/0069.png,Rogue,60,51,62,59,70,55,357,Ivory,Point Flat Bulky - Pastel Brown,Crystal - Hazel Brown,Calm - Ivory,Casual - Pastel Brown,Teddy Bear,Neo-G - Green and Black,Neo-P - Cool Grey and Black,,,Low Flat,,Royal Dragon,Ancient,,,,,
ETH,71,https://ik.imagekit.io/xanalia/breaking-down/v12/0262.png,Rogue,60,51,62,59,72,53,357,Ivory,Point Flat Bulky - Brownish Orange,Mermaid - Hazel Brown,Mid Angled - Ivory,Dreadlock - Brownish Orange,Teddy Bear,Strips - Green and Black,Double - Magenta and White,,,,,,,,,,,
ETH,72,https://ik.imagekit.io/xanalia/breaking-down/v8/0353.png,Rogue,66,45,76,45,66,59,357,Ivory,Slight Flat - Golden,Mermaid - Ice Grey,Action Ready - Ivory,Side Straight - Golden,Teddy Bear,,,Tornado - Black,Sneakers High,,,,,,,,,
ETH,73,https://ik.imagekit.io/xanalia/breaking-down/v4/0104.png,Berserker,55,56,59,62,67,54,353,Sand,Bulky Flat - Black,Mermaid - Hazel Brown,Nervous - Sand,Short Wild - Black,Bronze Beauty,Blaze - Green and Black,Dark Funk - Deep Red and White,,,,,,,,,,,
ETH,74,https://ik.imagekit.io/xanalia/breaking-down/v7/0387.png,Warrior,69,42,59,62,51,72,355,Pale Ivory,Mid Wave - Golden,Natural - Aqua,Sleepy - Pale Ivory,Spikes - Golden,Naturally Chic,,,Ban - Dark Blue,Joggers High,Low Curve,,,,,,,,
ETH,75,https://ik.imagekit.io/xanalia/breaking-down/v15/0138.png,Berserker,53,58,63,58,51,70,353,Sand,Flat - Dark Brown,Mermaid - Ice Grey,Focused - Sand,Decent - Dark Brown,Bronze Beauty,,,Nuribou - Purple,Capsule,Thin,,,,,,,,
ETH,76,https://ik.imagekit.io/xanalia/breaking-down/v5/0390.png,Brawler,52,59,60,61,56,69,357,Umber,Slight Rounded - Bronze,Medallion - Hazel Brown,Thick Angled - Umber,Slicked Back - Bronze,Madrid Deep,Alpha - Navy Blue and Black,W B R - Magenta and Black,,,,Leo,ZigZag,,,,,,Polyloop
ETH,77,https://ik.imagekit.io/xanalia/breaking-down/v6/0115.png,Juggernaut,50,61,54,67,72,51,355,Burgundy,Angry - Golden,Crystal - Sterling Blue,Thin Pointy - Burgundy,Spikes Top - Golden,Rasp Wicked,Dark Combat - Red and Black,W B R - Bluish Purple and Black,,,,,Howl,,,,,Bearded,
ETH,78,https://ik.imagekit.io/xanalia/breaking-down/v9/0190.png,Killer,61,50,75,46,77,48,357,Golden Brown,Slight Rounded - Silver,Crystal - Ice Grey,Smart - Golden Brown,Casual - Silver,Chocolate Berries,,,Tornado - Black,Capsule,,,,,Royal Round - Black Golden,,,,
ETH,79,https://ik.imagekit.io/xanalia/breaking-down/v1/0320.png,Phoenix,30,81,78,43,68,57,357,Almond,Narrow Rounded - Pale Brown,Crystal - Hazel Brown,Nervous - Almond,Fat Straights - Pale Brown,Candied Toffees,,,Lida - Red,Thick Base,,Edge,,Royal Dragon,,,,Bearded,
ETH,80,https://ik.imagekit.io/xanalia/breaking-down/v1/0245.png,Unstoppable,77,34,67,54,59,62,353,Porcelean,Curve - Pale Brown,Medallion - Hazel Brown,Round Flat - Porcelean,Full Slicked Back - Pale Brown,Double Espresso,,,Komeo - Blue,Joggers High,Thin Curve,,,,,,,,
ETH,81,https://ik.imagekit.io/xanalia/breaking-down/v8/0174.png,Berserker,42,69,46,75,54,67,353,Sand,Bulky Rounded - Brownish Orange,Mermaid - Hazel Brown,Confident - Sand,Long Spikes - Brownish Orange,Bronze Beauty,Blaze - Green and Black,Thin Strip - Magenta and White,,,,,,,,,,,
ETH,82,https://ik.imagekit.io/xanalia/breaking-down/v4/0350.png,Phoenix,55,56,71,50,63,62,357,Almond,Medium Flat - Golden,Crystal - Ice Grey,Sharp - Almond,Elegant - Golden,Candied Toffees,,,Ban - Pink,Formal,,Phoenix,,,,,,,
ETH,83,https://ik.imagekit.io/xanalia/breaking-down/v3/0053.png,Berserker,51,60,63,58,43,78,353,Sand,Wide Flat Edge - Dark Brown,Natural - Aqua,Round Flat - Sand,Short Wild - Dark Brown,Bronze Beauty,,,Urita - Blues Green,Sneakers,Thin Curve,Phoenix,,,Round - Golden Black,Pointy Round,,,
ETH,84,https://ik.imagekit.io/xanalia/breaking-down/v9/0376.png,Brawler,64,47,68,53,76,49,357,Umber,Flat Curve - Golden,Crystal - Jade Green,Thin Pointy - Umber,Mid Straight - Golden,Madrid Deep,Alpha - Green and Black,W B R - Cool Grey and Black,,,,,,,,,,,
ETH,85,https://ik.imagekit.io/xanalia/breaking-down/v6/0265.png,Phoenix,58,53,60,61,82,43,357,Almond,Slight Rounded - Dark Brown,Medallion - Hazel Brown,Sleepy - Almond,Mid Height - Dark Brown,Candied Toffees,Blaze - Yellow and Black,Dark Strip - Cerulean Blue and White,,,,,Dragon,Ancient,,,,Mustache Bearded,
ETH,86,https://ik.imagekit.io/xanalia/breaking-down/v10/0137.png,Warrior,67,44,65,56,53,70,355,Pale Ivory,Mid Bulky - Pinkish Red,Natural - Ice Grey,Confident - Pale Ivory,Elegant - Pinkish Red,Naturally Chic,,,Komeo - Light Gray,Sneakers High,,,,Inferno,,,,,
